voter,position,book,author,top100
"Johnston, Freya",8,Dr Gully,"Jenkins, Elizabeth",FALSE
"Sandhu, Sukhdev",1,Three Men in a Boat,"Jerome, Jerome K.",FALSE
"Moss, Sarah",1,The Country of the Pointed Firs,"Jewett, Sarah Orne",FALSE
"Poole, Steven",9,Tree of Smoke,"Johnson, Denis",FALSE
"Williams, Imogen Russell",2,Fire and Hemlock,"Jones, Diana Wynne",FALSE
"Mengiste, Maaza",7,The Known World,"Jones, Edward P",TRUE
"Gay, Roxane",2,The Known World,"Jones, Edward P",TRUE
"Khan, Uzma Aslam",3,The Known World,"Jones, Edward P",TRUE
"Chaudhuri, Amit",2,A Portrait of the Artist as a Young Man,"Joyce, James",FALSE
"Aridjis, Chloe",10,A Portrait of the Artist as a Young Man,"Joyce, James",FALSE
"Jaggi, Maya",2,A Portrait of the Artist as a Young Man,"Joyce, James",FALSE
"Manguel, Alberto",4,Ulysses,"Joyce, James",TRUE
"Clark, Alex",3,Ulysses,"Joyce, James",TRUE
"Harris, Alexandra",7,Ulysses,"Joyce, James",TRUE
"Enright, Anne",1,Ulysses,"Joyce, James",TRUE
"Okri, Ben",6,Ulysses,"Joyce, James",TRUE
"Morrison, Blake",4,Ulysses,"Joyce, James",TRUE
"Higgins, Charlotte",2,Ulysses,"Joyce, James",TRUE
"Power, Chris",4,Ulysses,"Joyce, James",TRUE
"Armitstead, Claire",4,Ulysses,"Joyce, James",TRUE
"Tóibín, Colm",1,Ulysses,"Joyce, James",TRUE
"McCann, Colum",1,Ulysses,"Joyce, James",TRUE
"McBride, Eimear",1,Ulysses,"Joyce, James",TRUE
"Shafak, Elif",3,Ulysses,"Joyce, James",TRUE
"Gunaratne, Guy",1,Ulysses,"Joyce, James",TRUE
"Barekat, Houman",2,Ulysses,"Joyce, James",TRUE
"McEwan, Ian",1,Ulysses,"Joyce, James",TRUE
"Rose, Jacqueline",3,Ulysses,"Joyce, James",TRUE
"Meek, James",6,Ulysses,"Joyce, James",TRUE
"Thayil, Jeet",3,Ulysses,"Joyce, James",TRUE
"Lanchester, John",3,Ulysses,"Joyce, James",TRUE
"Mullan, John",8,Ulysses,"Joyce, James",TRUE
"Day, Jon",1,Ulysses,"Joyce, James",TRUE
"Jordan, Justine",1,Ulysses,"Joyce, James",TRUE
"Power, Kevin",1,Ulysses,"Joyce, James",TRUE
"Goddard, Kieran",3,Ulysses,"Joyce, James",TRUE
"O’Farrell, Maggie",7,Ulysses,"Joyce, James",TRUE
"Harrison, Melissa",1,Ulysses,"Joyce, James",TRUE
"Emre, Merve",6,Ulysses,"Joyce, James",TRUE
"Rushdie, Salman",1,Ulysses,"Joyce, James",TRUE
"Gleeson, Sinéad",1,Ulysses,"Joyce, James",TRUE
"Hustvedt, Siri",8,Ulysses,"Joyce, James",TRUE
"King, Stephen",2,Ulysses,"Joyce, James",TRUE
"Kelly, Stuart",4,Ulysses,"Joyce, James",TRUE
"Luiselli, Valeria",9,Ulysses,"Joyce, James",TRUE
"Boyd, William",1,Ulysses,"Joyce, James",TRUE
"Lianke, Yan",6,Ulysses,"Joyce, James",TRUE
"Diop, David",9,Crooked Plow,"Junior, Itamar Vieira",FALSE
"Solomon, Andrew",6,The Phantom Tollbooth,"Juster, Norton",FALSE
"Lianke, Yan",8,The Castle,"Kafka, Franz",FALSE
"Manguel, Alberto",9,The Metamorphosis,"Kafka, Franz",TRUE
"Carty-Williams, Candice",7,The Metamorphosis,"Kafka, Franz",TRUE
"Aridjis, Chloe",4,The Metamorphosis,"Kafka, Franz",TRUE
"Shafak, Elif",4,The Metamorphosis,"Kafka, Franz",TRUE
"McEwan, Ian",5,The Metamorphosis,"Kafka, Franz",TRUE
"Murata, Sayaka",3,The Metamorphosis,"Kafka, Franz",TRUE
